فحم	f a ħ m
عقيدة	ʕ a q iː d a
فكرة	f i k r a
ذرة	ð a r r a
عباءة	ʕ a b aː ʔ a
فيما	f iː m aː
تغريدة	t a ɣ r iː d a
تنحى	t a n a ħ ħ aː
صراع	sˤ i r aː ʕ
مقاص	m a q aː sˤ sˤ
ليلي	l a j l i j j
هواء	h a w aː ʔ
إعلامي	ʔ i ʕ l aː m i j j
تعطى	t a ʕ a tˤ tˤ aː
رقيب	r a q iː b
فانيد	f aː n iː d
هلسنكي	h i l s i n k iː
قريب	q a r iː b
قطيفة	q a tˤ iː f a
رخخة	r i x a x a
فناء	f a n aː ʔ
غيرة	ɣ a j r a
رائب	r aː ʔ i b
أرهب	ʔ a r h a b a
أصبح	ʔ a sˤ b a ħ
اصطك	i sˤ tˤ a k k a
حماق	ħ a m aː q
آسيوي	ʔ aː s i j a w i j j
تصادم	t a sˤ aː d a m a
ديسمبر	d iː s a m b a r
قندهار	q u n d u h aː r
ميم	m iː m
ضخم	dˤ a x m
جمهور	d͡ʒ u m h uː r
استمر	i s t a m a r r a
أموي	ʔ u m a w i j j
علم	ʕ a l a m
اتجه	i t t a d͡ʒ a h a
تخطى	t a x a tˤ tˤ aː
أوقد	ʔ a w q a d a
أعرن	ʔ a ʕ r a n a
استخدم	i s t a x d a m a
أيون	ʔ a j uː n
قلم	q a l a m
فاشرا	f aː ʃ i r aː
الآن	a l ʔ aː n a
مرحاض	m i r ħ aː dˤ
رطانة	r a tˤ aː n a
هدس	h a d a s
سقرلاط	s i q i r l aː tˤ
كسا	k a s aː
سورة	s a w r a
نذير	n a ð iː r
إدريس	ʔ i d r iː s
الحبشة	a l ħ a b a ʃ a
منطقي	m a n tˤ i q i j j
أتاح	ʔ a t aː ħ a
صنارة	sˤ i n aː r a
اتعاظ	i t t i ʕ aː ðˤ
خزانة	x i z aː n a
صلابة	sˤ a l aː b a
معنى	m a ʕ n aː
محرك	m u ħ a r r i k
كشتبان	k u ʃ t u b aː n
تدريج	t a d r iː d͡ʒ
بروناي	b r uː n aː j
تزعزع	t a z a ʕ z a ʕ a
صلعة	sˤ a l ʕ a
مهندس	m u h a n d i s
تتلى	t u t l aː
زنخ	z a n i x a
أولياء	ʔ a w l i j aː ʔ
طابور	tˤ aː b uː r
مناعة	m a n aː ʕ a
تجربة	t a d͡ʒ r i b a
مسافة	m a s aː f a
أطنب	ʔ a tˤ n a b a
ارتباك	i r t i b aː k
وزغة	w a z a ɣ a
حيهل	ħ a j j a h a l
أنزع	ʔ a n z a ʕ a
سراح	s a r aː ħ
ممحوق	m a m ħ uː q
تراجيديا	t r aː d͡ʒ iː d j aː
حنيف	ħ a n iː f
أبش	ʔ a b a ʃ a
أعتاب	ʔ a ʕ t aː b
أرز	ʔ a r a z z a
بأس	b a ʔ s
ضمير	dˤ a m iː r
نائم	n aː ʔ i m
حاسم	ħ aː s i m
وزنة	w a z n a
كرز	k a r a z
ناقل	n aː q i l
لهاث	l u h aː θ
فوار	f a w w aː r
قلية	q i l l i j j a
بغاء	b i ɣ aː ʔ
ابتنى	i b t a n aː
أسس	ʔ a s s a s a
فريسة	f a r iː s a
نصراني	n a sˤ r aː n i j j
خامس	x aː m i s
عيدية	ʕ iː d i j j a
مرصبان	m a r sˤ a b aː n
ظيان	ðˤ a j j aː n
يبروح	j a b r uː ħ
مختبر	m u x t a b a r
نعناع	n a ʕ n aː ʕ
درع	d a r r a ʕ a
عجرفة	ʕ a d͡ʒ r a f a
قاعة	q aː ʕ a
يونس	j uː n u s
مشرك	m u ʃ r i k
أعصر	ʔ a ʕ sˤ a r a
عشيرة	ʕ a ʃ iː r a
سعد	s u ʕ d
سدل	s a d a l a
قاف	q aː f
تعسفي	t a ʕ a s s u f i j j
ألا	ʔ a l aː
تأميم	t a ʔ m iː m
مغلق	m i ɣ l a q
بركار	b i r k aː r
دشمة	d u ʃ m a
بئسما	b i ʔ s a m aː
شذر	ʃ a ð r
رياضة	r i j aː dˤ a
شره	ʃ a r i h a
صدغ	sˤ a d ɣ
ثقبة	θ u q b a
سقراط	s u q r aː tˤ
صاخة	sˤ aː x x a
مجرفة	m i d͡ʒ r a f a
عبودية	ʕ u b uː d i j j a
مصبنة	m a sˤ b a n a
مذكرة	m u ð a k k a r a
تاء	t aː ʔ
خزامى	x u z aː m aː
رتيلة	r u t a j l a
إبليز	ʔ i b l iː z
فرقاطة	f i r q aː tˤ a
آخر	ʔ aː x a r
قتل	q a t a l a
بلاغة	b a l aː ɣ a
ميانمار	m i j aː n m aː r
ثانية	θ aː n i j a
صربيا	sˤ i r b i j aː
وريد	w a r iː d
معزف	m i ʕ z a f
أباخس	ʔ a b aː x i s u
فنجنكشت	f a n d͡ʒ a n k u ʃ t
حلقة	ħ a l a q a
نعيم	n a ʕ iː m
رضى	r u dˤ aː
السفن	a s s u f u n
غزاوة	ɣ a z aː w a
صحي	sˤ a ħ i j a
غباء	ɣ a b aː ʔ
منبر	m i n b a r
علاجي	ʕ i l aː d͡ʒ iː
هرول	h a r w a l
قعد	q a ʕ a d a
أشوس	ʔ a ʃ w a s
مغنم	m a ɣ n a m
ظمئ	ðˤ a m i ʔ a
بسفايج	b a s f aː j a d͡ʒ
ساط	s aː tˤ a
أتوم	ʔ a t uː m
مكمل	m u k a m m a l
صفع	sˤ a f a ʕ a
لادن	l aː d a n
عمان	ʕ a m m aː n
انتهى	i n t a h aː
ناميبيا	n aː m iː b j aː
قويعدة	q u w a j ʕ i d a
هارون	h aː r uː n
تدريب	t a d r iː b
غذى	ɣ a ð ð aː
مالاوي	m aː l aː w iː
أخصائي	ʔ a x i sˤ sˤ aː ʔ i j j
نانخواة	n aː n a x w aː h
نادى	n aː d aː
جثة	d͡ʒ u θ θ a
نفط	n a f tˤ
بابل	b aː b i l
رزداق	r u z d aː q
دوغ	d uː ɣ
أخمص	ʔ a x m u sˤ
منور	m a n w a r
حكة	ħ i k k a
رخيص	r a x iː sˤ
خرج	x a r a d͡ʒ a
فدائي	f i d aː ʔ i j j
أحول	ʔ a ħ w a l
حصان	ħ i sˤ aː n
كرج	k a r i d͡ʒ a
مدام	m u d aː m
وقية	w i q i j j a
لاوس	l aː w s
كسوة	k i s w a
رئاسة	r i ʔ aː s a
عادات	ʕ aː d aː t
جوذاب	d͡ʒ uː ð aː b
أريزونا	ʔ a r iː z uː n aː
عالمي	ʕ aː l a m i j j
انتقل	i n t a q a l a
صربي	sˤ i r b i j j
غلاء	ɣ a l aː ʔ
ورن	w a r a n
جذر	d͡ʒ a ð a r a
نموذج	n a m uː ð a d͡ʒ
رغيفة	r a ɣ iː f a
إشبيلية	ʔ i ʃ b iː l i j a
أسياخ	ʔ a s j aː x
هدار	h a d d aː r
فراغ	f a r aː ɣ
مليء	m a l iː ʔ
رجب	r a d͡ʒ a b
دبلجة	d a b l a d͡ʒ a
تشهل	t a ʃ a h h a l a
نافذة	n aː f i ð a
براغ	b r aː ɣ
حيث	ħ a j θ u
صوف	sˤ a w i f a
أفل	ʔ a f a l a
ضوى	dˤ a w aː
حيطة	ħ a j tˤ a
كوخ	k uː x
وردة	w a r d a
مرارة	m a r aː r a
فتوى	f a t w aː
إحسان	ʔ i ħ s aː n
ماجد	m aː d͡ʒ i d
أطباء	ʔ a tˤ i b b aː ʔ
السودان	a s s uː d aː n
مكالمة	m u k aː l a m a
أكثرية	ʔ a k θ a r i j j a
بناية	b i n aː j a
حامض	ħ aː m i dˤ
زحزح	z a ħ z a ħ a
إسناد	ʔ i s n aː d
جزمازق	d͡ʒ a z m aː z a q
قيصوم	q a j sˤ uː m
قوم	q a w m
بوذي	b uː ð i j j
جبانات	d͡ʒ a b aː n aː t
تساوى	t a s aː w aː
صفن	sˤ a f a n
تعالم	t a ʕ aː l a m a
شطر	ʃ a tˤ a r a
بعيد	b a ʕ iː d
شمس	ʃ a m a s
تسعمائة	t i s ʕ u m i ʔ a
عند	ʕ i n d a
طقم	tˤ a q m
شلباية	ʃ i l b aː j a
وثيقة	w a θ iː q a
وحمة	w a ħ m a
ضاع	dˤ aː ʕ a
الكنية	a l k u n j a
بارز	b aː r a z a
وعدة	w a ʕ d a
وجد	w a d͡ʒ a d a
رأسي	r a ʔ s i j j
نزهة	n u z h a
بقشة	b u q ʃ a
بلاذر	b a l aː ð i r
خلنجان	x a l a n d͡ʒ aː n
اشهلال	i ʃ h i l aː l
دغدغ	d a ɣ d a ɣ a
مرقشيتا	m a r q a ʃ iː t aː
وثيق	w a θ iː q
لثغة	l u θ ɣ a
الجمعة	a l d͡ʒ u m a ʕ a
محى	m a ħ aː
اجتلى	i d͡ʒ t a l aː
كامخ	k aː m a x
صيخود	sˤ a j x uː d
أبريل	ʔ a b r iː l
مرفوع	m a r f uː ʕ
تكميلي	t a k m iː l i j j
ضالين	dˤ aː l l iː n
فركس	f i r k i s
بكارج	b a k aː r i d͡ʒ
عبادة	ʕ i b aː d a
أنبذ	ʔ a n b a ð a
لوز	l a w z
طرق	tˤ a r a q a
عائلة	ʕ aː ʔ i l a
خسأ	x a s a ʔ a
ممتلئ	m u m t a l i ʔ
قسطران	q a s tˤ a r aː n
كنيسة	k a n iː s a
شعير	ʃ a ʕ iː r
اعتدى	i ʕ t a d aː
نوراني	n uː r aː n i j j
سئم	s a ʔ i m a
شهدانق	ʃ a h d aː n a q
هبد	h a b d
داخل	d aː x a l a
السنغال	a s s i n i ɣ aː l
زرجون	z a r d͡ʒ uː n
تداعى	t a d aː ʕ aː
قاض	q aː dˤ a
تلحين	t a l ħ iː n
أوقف	ʔ a w q a f a
بلعوم	b u l ʕ uː m
رعراع	r a ʕ r aː ʕ
متماد	m u t a m aː d d
دون	d a w w a n a
أترج	ʔ u t r u d͡ʒ d͡ʒ
جور	d͡ʒ a w r
تربية	t a r b i j a
عصيب	ʕ a sˤ iː b
سيماء	s iː m aː ʔ
ملوخيا	m u l uː x i j j aː
كوة	k a w w a
ليمي	l a j m i j j
خفر	x a f a r a
تحسس	t a ħ a s s a s a
ناضج	n aː dˤ i d͡ʒ
أكسد	ʔ a k s a d a
ابتذل	i b t a ð a l a
رصفان	r u sˤ f aː n
مداد	m i d aː d
أصف	ʔ a sˤ a f
مقدار	m i q d aː r
انتبه	i n t a b a h a
أنزل	ʔ a n z a l a
بارد	b aː r i d
صؤول	sˤ a ʔ uː l
ذوق	ð a w q
مغن	m u ɣ a n n i n
بيلادونا	b iː l aː d uː n aː
رصاصة	r a sˤ aː sˤ a
لبلبي	l a b l a b i j j
هجران	h i d͡ʒ r aː n
إبادة	ʔ i b aː d a
أعجوبة	ʔ u ʕ d͡ʒ uː b a
أبث	ʔ a b a θ a
برذعة	b a r ð a ʕ a
عقال	ʕ i q aː l
أهدى	ʔ a h d aː
قصرية	q a sˤ r i j j a
أبرز	ʔ a b r a z
ضال	dˤ aː l l
أباسخيرون	ʔ a b aː s x iː r uː n
دمغة	d a m ɣ a
نشيد	n a ʃ iː d
انكتاب	i n k i t aː b
إجاصة	ʔ i d͡ʒ d͡ʒ aː sˤ a
مقطر	m u q a tˤ tˤ i r
سؤدد	s u ʔ d a d
ترميم	t a r m iː m
مستعرب	m u s t a ʕ r i b
أشيب	ʔ a ʃ j a b
سليلى	s u l a j l aː
تركمانستان	t u r k u m aː n i s t aː n
مبارز	m u b aː r a z
تقليدي	t a q l iː d i j j
غزال	ɣ a z aː l
سربام	s a r a b aː m
أصغى	ʔ a sˤ ɣ aː
سلاح	s i l aː ħ
طباق	tˤ a b b aː q
بنفسجي	b a n a f s a d͡ʒ i j j
أريكا	ʔ a r iː k aː
إشغال	ʔ i ʃ ɣ aː l
هذا	h aː ð a
اشتاق	i ʃ t aː q a
ارتعش	i r t a ʕ a ʃ a
استمارة	i s t i m aː r a
طشقند	tˤ a ʃ q a n d
فيجن	f a j d͡ʒ a n
رقيق	r a q iː q
مخبول	m a x b uː l
هذب	h a ð ð a b a
اندمل	i n d a m a l a
مشعر	m a ʃ ʕ a r
جريد	d͡ʒ a r iː d
سلة	s a l l a
ائتلاف	i ʔ t i l aː f
صاءك	sˤ aː ʔ a k a
مطران	m a tˤ r aː n
غافت	ɣ aː f a t
جلب	d͡ʒ a l a b
شابانك	ʃ aː b aː n a k
همس	h a m a s a
مشجب	m i ʃ d͡ʒ a b
منيرة	m u n iː r a
بينيث	b a j n iː θ
ملعون	m a l ʕ uː n
وهلة	w a h l a
فاتر	f aː t i r
شونيز	ʃ uː n iː z
كوم	k a w m
تقوى	t a q w aː
بهلول	b u h l uː l
جليس	d͡ʒ a l iː s
بحاح	b u ħ aː ħ
صمغ	sˤ a m ɣ
ابتلال	i b t i l aː l
براشوت	b a r aː ʃ uː t
جماد	d͡ʒ a m aː d
فكر	f a k a r a
مشرق	m a ʃ r i q
وفاء	w a f aː ʔ
دافئ	d aː f i ʔ
كفاح	k i f aː ħ
جادل	d͡ʒ aː d a l a
أنيون	ʔ a n j uː n
عبق	ʕ a b b a q a
نصاب	n a sˤ sˤ aː b
استمد	i s t a m a d d a
قراسيا	q a r aː s i j aː
بعثة	b a ʕ θ a
روسي	r uː s i j j
انسل	i n s a l l a
تعشيقة	t a ʕ i ʃ iː q a
فولاذ	f uː l aː ð
كثيراء	k a θ iː r aː ʔ
حتام	ħ a t t aː m a
ندد	n a d d a d a
زحافة	z a ħ ħ aː f a
صورة	sˤ uː r a
قاووش	q aː w uː ʃ
شيعة	ʃ iː ʕ a
بادية	b aː d i j a
عيادة	ʕ i j aː d a
إقناع	ʔ i q n aː ʕ
ضواحك	dˤ a w aː ħ i k
سوراني	s uː r aː n i j j
كهف	k a h f
ساج	s aː d͡ʒ
اكتسب	i k t a s a b a
ثاودسيوس	θ aː w u d u s i j uː s
طائر	tˤ aː ʔ i r
الأرجنتين	a l ʔ a r d͡ʒ a n t iː n
عام	ʕ aː m
طريخ	tˤ a r r iː x
حليب	ħ a l iː b
غانا	ɣ aː n aː
سلباح	s i l b aː ħ
صيدلي	sˤ a j d a l i j j
توظيف	t a w ðˤ iː f
غنيمة	ɣ a n iː m a
مسرحي	m a s r a ħ i j j
بغداد	b a ɣ d aː d
فاثور	f aː θ uː r
تصتم	t a sˤ a t t a m a
مصحنة	m i sˤ ħ a n a
أيقن	ʔ a j q a n a
طاقية	tˤ aː q i j j a
إياك	ʔ i j j aː k a
نحاس	n u ħ aː s
بقي	b a q i j a
إنما	ʔ i n n a m aː
مستطيلات	m u s t tˤ iː l aː t
خولنجان	x a w l a n d͡ʒ aː n
خمسة	x a m s a
ذمة	ð i m m a
لواط	l i w aː tˤ
بيرق	b a j r a q
مشعل	m a ʃ ʕ a l
متحد	m u t t a ħ i d
رفائيل	r u f aː ʔ iː l
المشتري	a l m u ʃ t a r iː
سهر	s a h i r a
بطرخ	b a tˤ r a x
بطروخ	b a tˤ r uː x
هتف	h a t a f a
رائعة	r aː ʔ i ʕ a
ملا	m u l l aː
استغرق	i s t a ɣ r a q a
حجة	ħ i d͡ʒ d͡ʒ a
رماد	r a m aː d
تعزب	t a ʕ a z z a b a
هاتف	h aː t i f
لتوانيا	l i t u w aː n i j aː
تحكيم	t a ħ k iː m
سافانا	s aː f aː n aː
باب	b aː b
هعخع	h u ʕ x u ʕ
أنور	ʔ a n w a r
أدب	ʔ a d a b
دكتور	d u k t uː r
استثنائي	i s t i θ n aː ʔ i j j
دلب	d u l b
عربية	ʕ a r a b i j j a
مساومة	m u s aː w a m a
ملعقة	m i l ʕ a q a
أنف	ʔ a n f
معاونة	m u ʕ aː w a n a
اخترق	i x t a r a q a
جليد	d͡ʒ a l iː d
قدوم	q a d d uː m
عبرة	ʕ i b r a
طلع	tˤ a l a ʕ a
مطراني	m u tˤ r aː n i j j
سفرجلة	s a f a r d͡ʒ a l a
فكاهي	f u k aː h i j j
رساطون	r a s aː tˤ uː n
تقرر	t a q a r r a r a
مسلم	m u s a l l a m
قداد	q a d aː d
هدف	h a d a f
رتينج	r a t iː n a d͡ʒ
خلفي	x a l f i j j
إقامة	ʔ i q aː m a
استفرغ	i s t a f r a ɣ a
تذمر	t a ð a m m a r a
مقدر	m u q a d d a r
توكيد	t a w k iː d
ملامح	m a l aː m i ħ
قرقع	q a r q a ʕ a
فنطاس	f i n tˤ aː s
كابل	k aː b u l
أرضي	ʔ a r dˤ i j j
مشتاق	m u ʃ t aː q
اشتباك	i ʃ t i b aː k
اشتباه	i ʃ t i b aː h
إمضاء	ʔ i m dˤ aː ʔ
نعوظ	n u ʕ uː ðˤ
أشنان	ʔ u ʃ n aː n
ستار	s i t aː r
قثاء	q i θ θ aː ʔ
طرخون	tˤ a r x uː n
آخن	ʔ aː x a n
تلفاف	t i l f aː f
دودة	d uː d a
بذرقطونا	b a ð a r q a tˤ uː n aː
طهران	tˤ a h r aː n
قشعريرة	q u ʃ a ʕ r iː r a
مبشرة	m i b ʃ a r a
فرهود	f u r h uː d
رمش	r a m a ʃ a
فلفل	f i l f i l
بعث	b a ʕ a θ a
كمء	k a m ʔ
نبأ	n a b a ʔ
ابتل	i b t a l l a
كميت	k u m a j t
همزة	h a m z a
قوقعة	q a w q a ʕ a
كون	k a w n
بارزذ	b aː r z a ð
أردمون	ʔ a r d a m uː n
لؤلؤ	l u ʔ l u ʔ
انهمك	i n h a m a k a
أكسح	ʔ a k s a ħ
جين	d͡ʒ iː n
استفز	i s t a f a z z a
شكال	ʃ i k aː l
أخت	ʔ u x t
نادلة	n aː d i l a
سيخي	s iː x i j j
ساوم	s aː w a m a
سوسة	s uː s a
سطم	s a tˤ a m a
قاد	q aː d a
ابرغش	i b r a ɣ a ʃ ʃ a
عباء	ʕ a b aː ʔ
رغف	r u ɣ u f
القنيطرة	a l q u n a j tˤ i r a
شخص	ʃ a x a sˤ a
أمريكا	ʔ a m r iː k aː
أكل	ʔ a k a l a
شفاف	ʃ a f f aː f
أحسن	ʔ a ħ s a n
شعلة	ʃ u ʕ l a
جارة	d͡ʒ aː r a
حجر	ħ a d͡ʒ a r
فدان	f a d d aː n
أمسك	ʔ a m s a k a
امتعض	i m t a ʕ a dˤ a
اغتنم	i ɣ t a n a m a
سوس	s a w i s a
قرميدة	q i r m iː d a
صخد	sˤ a x a d a
إبرة	ʔ i b r a
ليرة	l a j r a
استقلال	i s t i q l aː l
بقبق	b a q b a q a
بنفسج	b a n a f s a d͡ʒ
زؤام	z u ʔ aː m
عصف	ʕ a sˤ a f a
دغبوس	d u ɣ b uː s
كرفس	k a r a f s
خصوصي	x u sˤ uː sˤ i j j
