líon	lʲ iː n̪ˠ
comharsanna	ˈk uː ɾˠ sˠ ə n̪ˠ iː
aistrím	a ʃ ˈtʲ rʲ iː mʲ
Alba	ˈa l̪ˠ ə bˠ ə
crích	c ɾʲ iː ç
lobhadh	ˈl̪ˠ ɔ . u
póg	pˠ oː ɡ
fhréimh	rʲ eː vʲ
eile	ˈɛ lʲ ə
donna	ˈd̪ˠ ɔ n̪ˠ ə
séan	ʃ eː nˠ
ranna	ˈɾˠ a n̪ˠ ə
éadach	ˈi a̯ d̪ˠ ə x
bhfaide	ˈw a dʲ ə
bus	bˠ ʊ sˠ
láib	l̪ˠ ɑː bʲ
tuill	ˈt̪ˠ iː l̠ʲ
slabhra	ˈsˠ l̪ˠ a u ɾˠ u
coigríoch	ˌk ɔ ɟ ɪ ˈɾʲ iː x
shleamhnaigh	ˈh lʲ ə u n̪ˠ ə
fionnuacht	ˈfʲ ɨ̞ n̪ˠ w a x t̪ˠ
téad	tʲ i a d̪ˠ
Brasaíl	bˠ ɾˠ a ˈsˠ iː lʲ
cearrbhach	ˈc a ɾˠ w a x
tuilleadh	ˈt̪ˠ ɪ lʲ ə
scamhán	ˈsˠ k ã u w a nˠ
tráthchlár	ˈt̪ˠ ɾˠ ɑː ˌx l̪ˠ ɑː ɾˠ
díleá	dʲ iː ˈlʲ aː
nglacfá	ŋ l ɑ k ˈf ɑː
bruithne	ˈbˠ ɾˠ ɪ h nʲ ə
buaf	bˠ u ə fˠ
binde	ˈbʲ ɪ n̠ʲ dʲ ə
pras	pˠ ɾˠ ɑ sˠ
beanna	ˈbʲ a n̪ˠ ə
lámhacán	ˈl̪ˠ ãː w ə k a nˠ
scóip	sˠ k oː pʲ
fiáin	ˈfʲ i ə nʲ
chruit	x ɾˠ ɪ tʲ
saothraigh	ˈsˠ iː ɾˠ ə
saoire	ˈsˠ iː ɾʲ ə
beithígh	bʲ ɛ ˈh iː ɟ
tréidlia	ˈtʲ ɾʲ eː dʲ lʲ i ə
bhíothadh	ˈvʲ iː uː
scéala	ˈʃ c eː lˠ ə
ármhach	ˈaː ɾˠ w a x
sula	ˈsˠ ʊ lˠ ə
ionamsa	ˈɪ n̪ˠ ə mˠ sˠ ə
reilig	ˈɾˠ ɪ lʲ ɪ ɟ
doimhneacht	ˈd̪ˠ iː nʲ ə x t̪ˠ
chúl	x uː l̪ˠ
phinc	fʲ ɪ ɲ c
adhairce	ˈə i ɾʲ c ɪ
meaits	mʲ a tʲ ʃ
tarta	ˈt̪ˠ a ɾˠ t̪ˠ ə
achasán	ˈa h a sˠ a nˠ
baoch	bˠ eː x
soilse	ˈsˠ iː lʲ ʃ ə
fuirseadh	ˈfˠ ɔ ɾˠ sˠ u
taithí	t̪ˠ a ˈh iː
tiomáint	tʲ ɪ ˈm ɑː n̠ʲ tʲ
saoir	sˠ iː ɾʲ
goidtear	ˈɡ ɛ tʲ ə ɾˠ
fodhuine	ˈfˠ ɔ ɣ ɪ nʲ ə
cathaoir	k a ˈh iː ɾʲ
fheiceadh	ˈɛ c ə x
libhse	ˈlʲ ɪ vʲ ʃ ə
deifre	ˈdʲ ɛ fʲ rʲ ə
Iodáil	ə ˈd̪ˠ ɑː lʲ
Rúis	ɾˠ uː ʃ
feasta	ˈfʲ a sˠ t̪ˠ ə
coisíocht	k ə ˈʃ i ə x t
measa	ˈmʲ a sˠ ə
libh	lʲ ɪ vʲ
súil	sˠ uː lʲ
géig	ɟ eː ɟ
droma	ˈd̪ˠ ɾˠ ɔ mˠ ə
ceas	c a sˠ
sleagh	ʃ l̠ʲ ɨ̞ ɡ
suíonn	sˠ iː n̪ˠ
traidisiún	t̪ˠ ɾˠ a dʲ ə ˈʃ uː n̪ˠ
portaireacht	ˈpˠ ɔ ɾˠ t̪ˠ ə ɾʲ ə x t̪ˠ
céibh	c eː vʲ
praiseach	pˠ ɾˠ ə ˈʃ a x
néal	nʲ iː a̯ l̪ˠ
cuirir	ˈk ɪ ɾʲ ə ɾʲ
éistim	ˈeː ʃ tʲ ə mʲ
tsín	tʲ iː nʲ
dúr	d̪ˠ uː ɾˠ
bláthnaid	ˈbˠ l̪ˠ ɑː n̪ˠ ə dʲ
ng	ŋ
litre	ˈl̠ʲ i tʲ ɾʲ ə
dheora	ˈj oː ɾˠ ə
trua	t̪ˠ ɾˠ u ə
freastal	ˈfʲ ɾʲ a sˠ t̪ˠ ə lˠ
míshásta	ˈmʲ iː h ɑː sˠ t̪ˠ ə
damhsaigh	ˈd̪ˠ a u sˠ ə
buile	ˈbˠ ɪ lʲ ə
sníomhtha	ˈʃ n̠ʲ iː w h ə
lenár	ˈlʲ ɛ nˠ ɑː ɾˠ
léachtóir	l̠ʲ eː x ˈt̪ˠ oː ɾʲ
leapa	ˈlʲ a pˠ ə
cacht	k a x t̪ˠ
dligh	dʲ lʲ ɪ ɟ
olann	ˈɔ l̪ˠ ə n̪ˠ
maidine	ˈmˠ æ dʲ ə nʲ ə
Laighin	l̪ˠ ə i nʲ
geilt	ɟ ɛ lʲ tʲ
athleagadh	ˈæ lʲ ɨ̞ ɡ u
tairngreacht	ˈt̪ˠ a ɾˠ ɡ ə ɾʲ a x t̪ˠ
éadóchas	i a̯ ˈd̪ˠ oː x ə sˠ
haige	ˈh a ɟ ɪ
fliuchlach	ˈfʲ lʲ ɨ̞ x lˠ a x
d'altadh	ˈd̪ˠ a l̪ˠ t̪ˠ ə x
baineannach	ˈbˠ a nʲ ə nˠ ə x
phearsana	ˈfʲ a ɾˠ sˠ ə nˠ ə
meana	ˈmʲ a n̪ˠ ə
mheas	vʲ a sˠ
ciúine	ˈc uː nʲ ə
siadsan	ˈʃ i ə d̪ˠ s ə nˠ
ionga	ˈuː ŋ ə
mur	mˠ ə ɾˠ
cuisle	ˈk ɪ ʃ l̠ʲ ə
fill	fʲ iː lʲ
hóbair	ˈh oː bˠ ə ɾʲ
glóir	ɡ lˠ oː ɾʲ
sanasán	sˠ ɑ n̪ˠ ə ˈsˠ ɑː n̪ˠ
plúr	pˠ lˠ uː ɾˠ
áirím	ɑː ˈɾʲ iː mʲ
síofra	ˈʃ iː fˠ ɾˠ ə
ceantar	ˈc ɑ u n̪ˠ t̪ˠ ə ɾˠ
tacht	t̪ˠ ɑ x t̪ˠ
sliasad	ˈʃ lʲ i ə sˠ ə d̪ˠ
álainn	ˈɑː l̪ˠ ɪ ɲ
faide	ˈfˠ ɪ dʲ ə
cruithneacht	ˈk ɾˠ ɪ h nʲ ə x t̪ˠ
chuain	x u ə nʲ
phósfadh	ˈfˠ oː sˠ ə x
leice	ˈl̠ʲ ɛ c ɪ
leac	l̠ʲ a k
diúic	dʲ uː c
ceirtlín	ˈc a ɾˠ h l̠ʲ i nʲ
feirge	ˈfʲ ɛ ɾʲ ɪ ɟ ɪ
lofa	ˈl̪ˠ ɔ fˠ ə
bréig	bʲ ɾʲ eː ɟ
ceanna	ˈc a n̪ˠ ə
cáin	k ɑː nʲ
aprún	ə ˈpˠ ɾˠ uː n̪ˠ
spalptha	ˈsˠ pˠ a l p iː
minc	mʲ ɪ ɲ c
tiús	tʲ uː sˠ
comórtas	k ə ˈmˠ oː ɾˠ t̪ˠ ə sˠ
Mumhan	mˠ uː nˠ
meil	mʲ ɛ lʲ
dT	d̪ˠ
siamsa	ˈʃ iː mˠ sˠ ə
Pheadar	ˈfʲ a d̪ˠ ə ɾˠ
uaibh	w æ bʲ
mhéadar	ˈvʲ eː d̪ˠ ə ɾˠ
bheo	vʲ oː
níos	n̠ʲ iː sˠ
Shligigh	ˈh lʲ ɪ ɟ iː
colúr	k ɔ ˈl̪ˠ uː ɾˠ
ceannann	ˈc a n̪ˠ ə n̪ˠ
lenarb	ˈlʲ ɛ nˠ ə ɾˠ bˠ
aiteann	ˈæ tʲ ə n̪ˠ
bhfoirgneamh	ˈvˠ ɔ ɾʲ ɪ ɟ ə nʲ ə vˠ
Volaifis	w ɔ l̪ˠ ə fʲ ɪ ʃ
tairg	ˈt̪ˠ a ɾʲ ɪ ɟ
fionnán	ˈfʲ a n̪ˠ a nˠ
moll	mˠ ʌ l̪ˠ
fiche	ˈfʲ ɪ h ə
ghaibh	ɣ a vʲ
cárb	k aː ɾˠ bˠ
babhta	ˈbˠ ɑ u t̪ˠ ə
dearbhaigh	ˈdʲ ɛ ɾʲ fʲ ə
céard	c eː ɾˠ d̪ˠ
brise	ˈbʲ ɾʲ ɪ ʃ ə
fá	fˠ aː
chuán	x uː ˈɑː n̪ˠ
fáidheanna	ˈfˠ aː j ə n̪ˠ i
abhann	ə u n̪ˠ
draein	d̪ˠ ɾˠ eː nʲ
gceantar	ˈɟ ɑ u n̪ˠ t̪ˠ ə ɾˠ
ré	rˠ eː
ise	ˈɪ ʃ ə
bolscaire	ˈbˠ ɔ l̪ˠ sˠ k ə rʲ ə
aoiligh	ˈiː lʲ ɪ ɟ
obann	ˈɔ bˠ ə n̪ˠ
blas	bˠ l̪ˠ ɑ sˠ
lámh	l̪ˠ ɑː vˠ
fiú	fʲ uː
cheana	ˈh a n̪ˠ ə
thuiscint	ˈh ɪ ʃ c ɪ n̠ʲ tʲ
aneas	ə ˈn̠ʲ a sˠ
aireachtáil	a ɾʲ ə x ˈt̪ˠ ɑː lʲ
bunaitheoir	ˌbˠ u nˠ ə ˈh oː ɾʲ
céasadh	ˈc i a̯ sˠ ə
craein	k ɾˠ eː nʲ
áladh	ˈa lˠ u
colbha	ˈk ɔ lˠ ə w ə
sneachta	ˈʃ nʲ a x t̪ˠ ə
zae	z eː
uí	iː
fola	ˈfˠ ɔ lˠ ə
chléibh	ç lʲ eː vʲ
amaideach	ˈɑ mˠ ə dʲ ə x
dtithe	ˈdʲ ɪ h ɪ
nite	ˈnʲ ɪ tʲ ə
scadán	sˠ k ə ˈd̪ˠ ɑː n̪ˠ
ciontaí	ˈc ɨ̞ n̪ˠ t̪ˠ i
seandraoi	ʃ ɑ u n̪ˠ ˈd̪ˠ ɾˠ iː
árthach	ˈɑː ɾˠ h ə x
slog	ˈsˠ l̪ˠ ɔ ɡ
abairt	ˈa bˠ ə ɾˠ tʲ
pardún	pˠ ɑː ɾˠ ˈd̪ˠ uː n̪ˠ
caoi	k eː
Bolcán	b ə l̪ˠ ˈk ɑː n̪ˠ
hail	h a lʲ
snoí	sˠ n̪ˠ iː
cneasú	ˈc ɾʲ a sˠ u
Gaeilge	ˈɡ eː lʲ ɟ ɪ
meallfaidh	ˈmʲ a u l̪ˠ h ə
gíotáil	ɟ iː ˈt̪ˠ ɑː lʲ
gránaigh	ˈɡ ɾˠ ɑː n̪ˠ ɪ ɟ
feargach	ˈfʲ a ɾˠ ə ɡ ə x
leanfaidh	ˈl̠ʲ a nˠ h ə
fágfaidh	ˈfˠ ɑː k ə
stopallán	sˠ t̪ˠ ɔ p ə ˈl̪ˠ ɑː n̪ˠ
céir	c eː ɾʲ
dlite	ˈdʲ lʲ ɪ tʲ ə
brúim	bˠ ɾˠ uː mʲ
bruite	ˈbˠ ɾˠ ɪ tʲ ə
piléar	pʲ ə ˈlʲ eː ɾˠ
múchadh	ˈmˠ uː x ə
treabhfaidh	ˈtʲ ɾʲ oː w h ə
scragall	ˈsˠ k ɾˠ a ɡ ə l̪ˠ
coitianta	k ə ˈtʲ i ə n̪ˠ t̪ˠ ə
fáinne	ˈfˠ ɑː ɲ ə
bhig	vʲ ɪ ɟ
tsléibh	tʲ lʲ eː vʲ
saorann	ˈsˠ eː ɾˠ ə n̪ˠ
haer	h eː ɾˠ
mearbhall	ˈmʲ a ɾˠ ə w ə l̪ˠ
gránna	ˈɡ ɾˠ ɑː n̪ˠ ə
culaithe	ˈk ʊ lˠ ɪ h ə
thuas	h u ə sˠ
fáisc	ˈfˠ ɑː ʃ c
collach	k ə ˈl̪ˠ ɑ x
ionas	ˈɯ n̪ˠ ə sˠ
machnamh	ˈmˠ ɑ x n̪ˠ ə vˠ
sách	sˠ ɑː x
amhlánta	ˈa u lˠ a n̪ˠ t̪ˠ ə
dil	ˈdʲ ɪ lʲ
scéal	sˠ c i a l̪ˠ
nóin	n̪ˠ oː nʲ
uath	u ə h
Seáin	ʃ ɑː nʲ
Lúnasa	ˈl̪ˠ uː n̪ˠ ə sˠ ə
sinsir	ˈʃ iː n̠ʲ sʲ ə ɾʲ
Eastóinis	ˈa sˠ tˠ oː nʲ ɪ ʃ
beithir	ˈbʲ ɛ h ə ɾʲ
glúine	ˈɡ l̪ˠ uː nʲ ə
Diarmaid	ˈdʲ i ə ɾˠ mˠ ə dʲ
Blarna	ˈbˠ lˠ ɑː ɾˠ n̪ˠ ə
tí	tʲ iː
imím	ɪ ˈmʲ iː mʲ
luachair	l̪ˠ u ə x ə ɾʲ
námhaid	ˈn̪ˠ aː w ə dʲ
Ll	l̪ˠ
gorach	ˈɡ ɔ ɾˠ ə x
bíodh	bʲ iː x
íosfaidh	ˈiː s iː
duid	d̪ˠ ɪ dʲ
fhéidir	ˈeː dʲ ə ɾʲ
bacaí	bˠ ə ˈk iː
luchóg	l̪ˠ ʊ ˈx oː ɡ
Cincís	c ɪ ɲ ˈc iː ʃ
oisir	ˈɔ ʃ ɪ ɾʲ
dícheall	ˈdʲ iː ç ə l̪ˠ
bruach	bˠ ɾˠ u ə x
gafa	ˈɡ a fˠ ə
leaga	ˈl̠ʲ a ɡ ə
leithne	ˈl̠ʲ ɪ h nʲ ə
trealamh	ˈtʲ ɾʲ a lˠ ə vˠ
giob	ɟ ɪ bˠ
drochaoibh	ˈd̪ˠ ɾˠ ɔ x iː vʲ
mbó	m oː
feirg	ˈfʲ ɛ ɾʲ ɪ ɟ
bruith	ˈbˠ ɾˠ ɪ fʲ
d'fhonn	d̪ˠ ə u n̪ˠ
einsímeach	ɛ nʲ ˈʃ iː mʲ ə x
fánach	ˈfˠ ɑː nˠ ə x
ghním	nʲ iː mʲ
cánacha	ˈk ɑː n̪ˠ ə x ə
buinneán	ˈbˠ ɪ n̠ʲ a nˠ
cearnóg	c aː ɾˠ ˈn̪ˠ oː ɡ
guíochtaint	ˈɡ iː ə x t̪ˠ ə nʲ tʲ
dhímheas	ˈj ĩː vʲ a sˠ
tréigthe	ˈtʲ ɾʲ eː c ɪ
dúch	d̪ˠ uː x
treascair	ˈtʲ rʲ a sˠ k ə ɾʲ
giuirléid	ɟ uː ɾˠ ˈlʲ eː dʲ
scríob	sˠ c ɾʲ iː bˠ
toircheas	ˈt̪ˠ ɔː ɾˠ h i sˠ
leas	l̠ʲ a sˠ
chun	x ɪ nʲ
beár	bʲ aː ɾˠ
cruinneál	ˈk ɾˠ ɪ n̠ʲ ɑː l̪ˠ
deasú	dʲ a ˈsˠ uː
ruainne	ˈɾˠ u ə n̠ʲ ə
dearmadacha	ˈdʲ a ɾˠ mˠ ə d̪ˠ ə x
soir	sˠ ɪ ɾʲ
uair	u ə ɾʲ
deichniúr	ˈdʲ ɪ n̠ʲ uː ɾˠ
ábalta	ˈɑː bˠ ə l̪ˠ t̪ˠ ə
braillín	bˠ ɑ ɾʲ ˈlʲ iː nʲ
caillfidh	ˈk æ l̠ʲ h ə
ghníomh	j nʲ iː vˠ
eitleáin	ɛ tʲ ə ˈlʲ ɑː nʲ
criadh	c ɾʲ i ə
geis	ɟ ɛ ʃ
teachtaire	ˈtʲ a x t̪ˠ ə ɾʲ ə
Gaedhlaing	ˈɡ eː l ɪ ɲ
leanúint	ˈl̠ʲ a nˠ u n̠ʲ tʲ
múnla	ˈmˠ uː n̪ˠ l̪ˠ ə
tsúil	t̪ˠ uː lʲ
airigh	ˈa ɾʲ ɪ ɟ
file	ˈfʲ ɪ lʲ ə
uafásach	ˈuː h ɑː sˠ ə x
sleán	ʃ lʲ ɑː n̪ˠ
ph	fˠ
sobal	ˈsˠ ɔ bˠ ə lˠ
feolmhach	ˈfʲ ɔː lˠ w a x i
airím	a ˈɾʲ iː mʲ
tóirse	ˈt̪ˠ oː ɾˠ ʃ ə
dtailte	ˈd̪ˠ a l̠ʲ tʲ ə
áitiú	ɑː ˈtʲ uː
bruscar	ˈbˠ ɾˠ ʊ sˠ k ə ɾˠ
átha	aː
cór	k oː ɾˠ
Bolcáin	b ə l̪ˠ ˈk ɑː nʲ
díth	dʲ iː
foide	ˈfˠ ɛ dʲ ə
ciúnas	ˈc uː nˠ ə sˠ
éanlaith	ˈeː nˠ lˠ ə
sparán	sˠ pˠ ə ˈɾˠ ɑː nˠ
forc	fˠ o ɾˠ k
luí	l̪ˠ iː
áitithe	ˈɑː tʲ ɪ h ə
áthas	ˈɑː h ə sˠ
tuir	t̪ˠ ɪ ɾʲ
dreach	dʲ ɾʲ a x
bhfear	vʲ a ɾˠ
méadar	ˈmʲ eː d̪ˠ ə ɾˠ
clogad	ˈk l̪ˠ ɔ ɡ ə d̪ˠ
paiste	ˈpˠ a ʃ tʲ ə
lasta	ˈl̪ˠ a sˠ t̪ˠ ə
cluich	k lˠ ɪ ç
seod	ʃ ɔ d̪
aiteach	ˈa tʲ ə x
ceoch	c oː x
fhiacha	ˈi ə x ə
tsnua	t̪ˠ n̪ˠ uː ə
faiteach	ˈfˠ a tʲ ə x
sothuigthe	ˈsˠ ɔ ˌh ɪ c ɪ
deacair	ˈdʲ a k ə ɾʲ
marc	mˠ a ɾˠ k
Máire	ˈmˠ ɑː ɾʲ ə
clampar	ˈk lˠ a mˠ pˠ ə ɾˠ
ceirnín	ˈc ɛ ɾˠ n̠ʲ iː nʲ
dhreas	j ɾʲ a sˠ
Ocsatánais	ˈɔ k s ə tˠ aː nˠ ɪ ʃ
dhíbh	j iː vʲ
asaibhse	ˈa sˠ ə vʲ ʃ ə
méalach	ˈmʲ eː lˠ ə x
éirím	ə i ˈɾʲ iː mʲ
gor	ɡ ɔ ɾˠ
cuirfidh	ˈk ɪ ɾʲ h ə
carraig	ˈk ɑ ɾˠ ɪ ɟ
mallaigh	ˈmˠ ɑ l̪ˠ ɪ ɟ
moill	mˠ iː lʲ
maireann	ˈmˠ ɛ ɾʲ ə n̪ˠ
toghtar	ˈt̪ˠ ɨ̥ tʲ ə ɾˠ
bhéarfadh	ˈvʲ eː ɾˠ ə tʲ
cruitchlár	ˈk ɾˠ ɪ tʲ ˌx lˠ ɑː ɾˠ
teannaim	ˈtʲ a n̪ˠ ə mˠ
thithe	ˈh ɪ h ɪ
aiste	ˈa ʃ tʲ ə
páirc	pˠ aː ɾʲ c
pianadh	ˈpʲ i ə nˠ ə
tuairisc	ˈt̪ˠ u ə ɾʲ ɪ ʃ c
marfach	ˈmˠ ɑ ɾˠ ə fˠ ə x
mairbh	ˈmˠ ɑ rʲ ə vʲ
monarc	ˈmˠ ɔ nˠ ə ɾˠ k
fíon	fʲ iː nˠ
Tuircis	ˈt̪ˠ ʊ ɾʲ c ɪ ʃ
praistéal	ˈpˠ ɾˠ æ ʃ tʲ a lˠ
mórachas	ˈmˠ ʌ rˠ a x ə sˠ
cruitíneach	k ɾˠ ə ˈtʲ iː nʲ ə x
arc	a ɾˠ k
capall	ˈk a pˠ ə l̪ˠ
cumtha	ˈk uː mˠ h ə
feamainn	ˈfʲ a mˠ ə n̠ʲ
bratach	ˈbˠ ɾˠ ɑ t̪ˠ ə x
deisceabal	ˈdʲ ɛ ʃ c ə bˠ ə lˠ
gcomhluadar	ˈɡ oː lˠ u ə d̪ˠ ə ɾˠ
aiteannach	ˈæ tʲ ə nˠ a x
otair	ˈɔ t̪ˠ ə ɾʲ
santach	ˈsˠ a i nʲ tʲ ə x
cuimil	ˈk ɪ mʲ ə lʲ
air	a ɾʲ
Veinéis	vʲ ə ˈnʲ eː ʃ
balla	ˈbˠ ɑ l̪ˠ ə
righ	ɾˠ ɪ ɟ
India	ˈɪ nʲ dʲ i ə
feadóg	ˈfʲ a d̪ˠ oː ɡ
ceannaigh	ˈc a n̪ˠ ə ɟ
damhsa	ˈd̪ˠ ə u sˠ ə
mothaítear	ˈmˠ ɔ tʲ ə ɾˠ
saibhir	ˈsˠ ɛ vʲ ə ɾʲ
arsa	ˈa ɾˠ sˠ ə
buail	bˠ u ə lʲ
aontaigh	ˈeː n̪ˠ t̪ˠ ɪ ɟ
milis	ˈmʲ ɪ lʲ ə ʃ
maorga	ˈmˠ eː ɾˠ ɡ ə
caoiche	ˈk iː ç ə
meirg	ˈmʲ ɛ ɾʲ ɪ ɟ
ualach	ˈu ə l̪ˠ ə x
fuiliceach	ˈfˠ ɪ lʲ ɪ c ə x
muinín	mˠ ɪ ˈnʲ iː nʲ
neamart	ˈn̠ʲ a mˠ ɔ ɾˠ t̪ˠ
ceannasaí	c a n̪ˠ ə ˈsˠ iː
dtóireacha	ˈd̪ˠ oː ɾʲ ə x ə
éalóim	ˈeː lˠ o i̯ mˠ
dínne	ˈdʲ iː n̠ʲ ə
beinn	bʲ e i n̠ʲ
nigh	n̠ʲ iː
righin	ɾˠ iː nʲ
Eoghan	oː n̪ˠ
difríocht	ˈdʲ ɪ fʲ ɾʲ i ə x t̪ˠ
aischuir	ˈa ʃ ˌx ɪ rʲ
spúnóg	sˠ pˠ uː ˈn̪ˠ oː ɡ
bailigh	ˈbˠ a lʲ ɪ ɟ
seasamh	ˈʃ a sˠ ə vˠ
ráit	ˈɾˠ aː tʲ
dlíthiúil	dʲ lʲ iː ˈh uː lʲ
bearaigh	ˈbʲ ɛ ɾˠ i
muintir	ˈmˠ iː n̠ʲ tʲ ə ɾʲ
fead	fʲ a d̪ˠ
cloich	k l̪ˠ ɞ h
ocras	ˈɔ k ə ɾˠ ə sˠ
toirnéis	t̪ˠ oː ɾˠ ˈn̠ʲ eː ʃ
Ph	fˠ
tomacha	ˈt̪ˠ ʌ mˠ ə x iː
meas	mʲ a sˠ
tharraing	ˈh a ɾʲ ɪ ɟ
túisce	ˈt̪ˠ uː ʃ c ɪ
urchuil	ˈʌ ɾˠ x ə l̪ˠ
péinteáil	pʲ eː nʲ ˈtʲ aː lʲ
bliosán	bʲ lʲ ə ˈsˠ ɑː n̪ˠ
eanglach	ˈɨ̞ ŋ lˠ a x
síth	ʃ iː
chara	ˈx ɑ ɾˠ ə
cloch	k l̪ˠ ɞ x
snámhaim	ˈsˠ n̪ˠ aː w ə mˠ
glór	ɡ lˠ oː ɾˠ
siúinéara	ˈʃ uː nʲ eː ɾˠ ə
beag	bʲ ɞ ɡ
tiarna	ˈtʲ i ə ɾˠ n̪ˠ ə
dorchacht	ˈd̪ˠ ɔ ɾˠ ə x ə x t̪ˠ
leic	l̠ ɛ c
éirí	ˈə i ɾʲ iː
smuga	ˈsˠ mˠ ʊ ɡ ə
ainmhí	a nʲ ə ˈvʲ ĩː
ndearnadar	ˈn̠ʲ aː ɾˠ n̪ˠ ə d̪ˠ ə ɾˠ
faraor	fˠ a ˈɾˠ iː ɾˠ
scoitheadh	ˈs k a h u
rúsc	ɾˠ uː sˠ k
Conamara	ˌk ʊ n̪ˠ ə ˈm a ɾˠ ə
crodh	ˈk ɾˠ ʊ h
chrup	x ɾˠ ʌ pˠ
adhaltranas	ˈiː l̪ˠ t̪ˠ ɾˠ ə nˠ ə sˠ
sluaigh	sˠ l̪ˠ u ə ɟ
fuaim	fˠ u ə mʲ
cuirid	ˈk ɪ ɾʲ ə dʲ
sinne	ˈʃ ɪ n̠ʲ ə
gnó	ɡ n̪ˠ oː
inti	ˈɪ n̠ʲ tʲ ə
